CampID,Day,Time
2147,1,2020-07-20 05:23:03pm
3208,2,2020-07-20 05:23:06pm
3217,2,2020-07-20 05:23:33pm
3216,2,2020-07-20 05:23:43pm
2761,2,2020-07-20 05:23:55pm
2837,2,2020-07-20 05:24:03pm
3362,1,2020-07-20 05:24:08pm
9064,1,2020-07-20 05:24:22pm
9064,1,2020-07-20 05:24:39pm
2226,1,2020-07-20 05:24:41pm
9064,1,2020-07-20 05:24:46pm
9064,1,2020-07-20 05:24:56pm
2787,2,2020-07-20 05:25:10pm
2787,1,2020-07-20 05:25:14pm
1954,1,2020-07-20 05:25:21pm
3434,2,2020-07-20 05:25:30pm
1954,1,2020-07-20 05:25:40pm
1954,2,2020-07-20 05:25:48pm
3574,2,2020-07-20 05:26:26pm
3574,3,2020-07-20 05:26:39pm
2459,2,2020-07-20 05:26:46pm
3607,1,2020-07-20 05:26:49pm
3574,2,2020-07-20 05:26:58pm
2202,2,2020-07-20 05:27:01pm
2373,2,2020-07-20 05:27:06pm
2765,2,2020-07-20 05:27:12pm
3689,2,2020-07-20 05:28:08pm
2810,2,2020-07-20 05:28:35pm
2043,2,2020-07-20 05:28:40pm
5064,2,2020-07-20 05:28:50pm
2318,2,2020-07-20 05:28:50pm
2318,2,2020-07-20 05:28:55pm
2389,1,2020-07-20 05:29:21pm
2389,2,2020-07-20 05:29:29pm
1970,1,2020-07-20 05:29:41pm
2650,2,2020-07-20 05:29:44pm
5064,2,2020-07-20 05:29:47pm
2650,2,2020-07-20 05:29:50pm
2650,2,2020-07-20 05:29:51pm
1970,2,2020-07-20 05:29:53pm
2207,2,2020-07-20 05:29:54pm
2650,2,2020-07-20 05:29:56pm
2650,2,2020-07-20 05:29:59pm
2650,2,2020-07-20 05:30:02pm
2650,2,2020-07-20 05:30:02pm
2650,2,2020-07-20 05:30:02pm
2590,1,2020-07-20 05:30:20pm
2590,2,2020-07-20 05:30:28pm
1970,3,2020-07-20 05:30:58pm
2992,2,2020-07-20 05:30:59pm
1970,2,2020-07-20 05:31:07pm
2720,2,2020-07-20 05:31:19pm
1996,2,2020-07-20 05:31:27pm
2591,1,2020-07-20 05:31:27pm
